Instruments,Entry Timestamp,Entry Price,Exit Timestamp,Exit Price,Quantity,Lot Size,PnL per Lot,Cost per Lot,Net PnL per Lot,Exit Reason,Nearest Expiry Date,Days to Expiry,Expiry Day Flag,Month,Hold Time
"21700PE, 21750CE",2024-01-01 09:42:00,214.1705,2024-01-01 11:13:00,204.727,2,75,-708.2624999999989,32.125575,-740.3880749999989,Hold Time Exceeded,04JAN24,3,False,1,91.0
"21750CE, 21800PE",2024-01-01 11:30:00,251.692,2024-01-01 13:01:00,240.279,2,75,-855.9750000000008,37.7538,-893.7288000000008,Hold Time Exceeded,04JAN24,3,False,1,91.0
"21750CE, 21800PE",2024-01-01 13:02:00,240.784,2024-01-01 13:24:00,239.7235,2,75,-79.53750000000139,36.117599999999996,-115.65510000000137,Trend Reversal,04JAN24,3,False,1,22.0
"21750CE, 21800PE",2024-01-01 13:51:00,236.542,2024-01-01 14:50:00,286.28450000000004,2,75,3730.6875000000005,35.481300000000005,3695.2062000000005,Profit Target Hit,04JAN24,3,False,1,59.0
"21850CE, 21900PE",2024-01-01 14:51:00,252.19699999999997,2024-01-01 15:21:00,244.77349999999998,2,75,-556.7624999999998,37.82955,-594.5920499999993,EOD,04JAN24,3,False,1,30.0
"21750CE, 21800PE",2024-01-02 09:41:00,219.7255,2024-01-02 10:29:00,255.429,2,75,2677.7625000000003,32.958825,2644.8036750000006,Profit Target Hit,04JAN24,2,False,1,48.0
"21600PE, 21650CE",2024-01-02 10:51:00,182.9615,2024-01-02 11:08:00,178.1135,2,75,-363.600000000001,27.444225000000003,-391.04422500000095,Trend Reversal,04JAN24,2,False,1,17.0
"21600PE, 21650CE",2024-01-02 12:05:00,173.3665,2024-01-02 13:36:00,163.822,2,75,-715.8375000000009,26.004975,-741.8424750000008,Hold Time Exceeded,04JAN24,2,False,1,91.0
"21650CE, 21700PE",2024-01-02 14:12:00,208.8175,2024-01-02 15:21:00,199.677,2,75,-685.5375000000001,31.322625000000002,-716.8601250000002,EOD,04JAN24,2,False,1,69.0
"21600PE, 21650CE",2024-01-03 09:51:00,137.6125,2024-01-03 10:13:00,131.401,2,75,-465.8625000000005,20.641875,-486.50437500000055,Trend Reversal,04JAN24,1,False,1,22.0
"21550CE, 21600PE",2024-01-03 10:35:00,177.255,2024-01-03 11:22:00,168.82150000000001,2,75,-632.5124999999996,26.58825,-659.1007499999996,Trend Reversal,04JAN24,1,False,1,47.0
"21600CE, 21650PE",2024-01-03 11:48:00,164.1755,2024-01-03 12:27:00,191.79899999999998,2,75,2071.762499999999,24.626325,2047.1361749999987,Profit Target Hit,04JAN24,1,False,1,39.0
"21550PE, 21600CE",2024-01-03 12:41:00,114.8875,2024-01-03 13:37:00,106.656,2,75,-617.3624999999996,17.233125,-634.5956249999999,Stop Loss Hit,04JAN24,1,False,1,56.0
"21550PE, 21600CE",2024-01-03 14:34:00,99.88900000000001,2024-01-03 15:21:00,108.27199999999999,2,75,628.7250000000004,14.983349999999998,613.7416499999999,EOD,04JAN24,1,False,1,47.0
"21600CE, 21650PE",2024-01-04 10:05:00,85.3955,2024-01-04 11:10:00,79.3355,2,75,-454.5000000000002,12.809325000000001,-467.3093250000002,Stop Loss Hit,04JAN24,0,True,1,65.0
"21650CE, 21700PE",2024-01-04 11:11:00,83.9815,2024-01-04 11:48:00,77.77,2,75,-465.86250000000007,12.597225000000002,-478.4597250000001,Stop Loss Hit,04JAN24,0,True,1,37.0
"21650CE, 21700PE",2024-01-04 12:24:00,73.427,2024-01-04 12:58:00,70.296,2,75,-234.82500000000002,11.014050000000001,-245.83905,Trend Reversal,04JAN24,0,True,1,34.0
"21750CE, 21800PE",2024-01-05 09:54:00,260.4285,2024-01-05 11:25:00,271.7405,2,75,848.400000000001,39.064275,809.3357250000013,Hold Time Exceeded,11JAN24,6,False,1,91.0
"21700PE, 21750CE",2024-01-05 11:35:00,215.7865,2024-01-05 13:06:00,207.2015,2,75,-643.8750000000007,32.367975,-676.2429750000007,Hold Time Exceeded,11JAN24,6,False,1,91.0
"21650PE, 21700CE",2024-01-05 13:54:00,211.09,2024-01-05 14:00:00,211.4435,2,75,26.51249999999976,31.6635,-5.151000000000238,Trend Reversal,11JAN24,6,False,1,6.0
"21650PE, 21700CE",2024-01-05 14:31:00,211.8475,2024-01-05 15:19:00,196.546,2,75,-1147.6125000000004,31.777125,-1179.3896250000005,Stop Loss Hit,11JAN24,6,False,1,48.0
