Instruments,Entry Timestamp,Entry Price,Exit Timestamp,Exit Price,Quantity,Lot Size,PnL per Lot,Cost per Lot,Net PnL per Lot,Exit Reason,Nearest Expiry Date,Days to Expiry,Expiry Day Flag,Month,Hold Time
"21750CE, 21750PE",2024-01-01 13:58:00,215.8875,2024-01-01 14:12:00,241.4405,2,75,-1916.475,32.383125,-1948.8581249999993,Stop Loss Hit,04JAN24,3,False,1,14.0
"21800CE, 21800PE",2024-01-01 14:43:00,227.0985,2024-01-01 15:03:00,231.694,2,75,-344.66249999999906,34.064775,-378.72727499999905,RSI Oversold,04JAN24,3,False,1,20.0
"21650CE, 21650PE",2024-01-02 13:37:00,184.88049999999998,2024-01-02 14:27:00,182.911,2,75,147.71249999999873,27.732074999999995,119.98042499999872,RSI Oversold,04JAN24,2,False,1,50.0
"21700CE, 21700PE",2024-01-02 14:39:00,177.558,2024-01-02 14:54:00,175.8915,2,75,124.98750000000018,26.6337,98.35379999999986,RSI Oversold,04JAN24,2,False,1,15.0
"21600CE, 21600PE",2024-01-03 11:48:00,138.2185,2024-01-03 12:05:00,134.93599999999998,2,75,246.1874999999999,20.732775,225.45472499999988,RSI Oversold,04JAN24,1,False,1,17.0
"21550CE, 21550PE",2024-01-03 12:52:00,137.663,2024-01-03 13:57:00,131.5525,2,75,458.28750000000014,20.64945,437.63805000000013,RSI Oversold,04JAN24,1,False,1,65.0
"21650CE, 21650PE",2024-01-04 10:15:00,60.1455,2024-01-04 10:51:00,48.581,2,75,867.3374999999996,9.021825,858.3156749999996,Profit Target Hit,04JAN24,0,True,1,36.0
"21700CE, 21700PE",2024-01-05 12:10:00,236.39050000000003,2024-01-05 12:36:00,233.815,2,75,193.16250000000036,35.458575,157.70392500000037,RSI Oversold,11JAN24,6,False,1,26.0
"21700CE, 21700PE",2024-01-05 14:46:00,230.9365,2024-01-05 15:18:00,219.473,2,75,859.7624999999999,34.640475,825.1220249999998,RSI Oversold,11JAN24,6,False,1,32.0
"21700CE, 21700PE",2024-01-08 10:34:00,202.707,2024-01-08 10:46:00,199.475,2,75,242.39999999999873,30.406049999999993,211.99394999999936,RSI Oversold,11JAN24,3,False,1,12.0
"21600CE, 21600PE",2024-01-08 12:34:00,201.6465,2024-01-08 12:56:00,205.131,2,75,-261.3374999999987,30.246975,-291.584474999999,RSI Oversold,11JAN24,3,False,1,22.0
"21600CE, 21600PE",2024-01-08 13:21:00,200.6365,2024-01-08 13:42:00,203.4645,2,75,-212.0999999999991,30.095475,-242.19547499999908,RSI Oversold,11JAN24,3,False,1,21.0
"21700CE, 21700PE",2024-01-09 10:21:00,174.57850000000002,2024-01-09 10:58:00,174.12400000000002,2,75,34.08750000000076,26.186775000000004,7.900725000000753,RSI Oversold,11JAN24,2,False,1,37.0
"21700CE, 21700PE",2024-01-09 12:26:00,175.08350000000002,2024-01-09 12:52:00,170.286,2,75,359.8125,26.262525,333.549975,RSI Oversold,11JAN24,2,False,1,26.0
"21550CE, 21550PE",2024-01-10 10:17:00,156.8025,2024-01-10 10:32:00,159.5295,2,75,-204.5250000000002,23.520375,-228.04537500000026,RSI Oversold,11JAN24,1,False,1,15.0
"21550CE, 21550PE",2024-01-10 14:01:00,134.431,2024-01-10 14:32:00,133.32,2,75,83.32500000000192,20.16465,63.16035000000187,RSI Oversold,11JAN24,1,False,1,31.0
"21550CE, 21550PE",2024-01-10 14:39:00,134.128,2024-01-10 14:59:00,153.6715,2,75,-1465.7624999999998,20.1192,-1485.8817000000001,Stop Loss Hit,11JAN24,1,False,1,20.0
"21800CE, 21800PE",2024-01-12 10:05:00,260.1255,2024-01-12 11:14:00,279.71950000000004,2,75,-1469.5500000000006,39.01882500000001,-1508.5688250000007,RSI Oversold,18JAN24,6,False,1,69.0
"21850CE, 21850PE",2024-01-12 12:52:00,273.76050000000004,2024-01-12 14:06:00,285.0725,2,75,-848.3999999999976,41.064075,-889.4640749999978,RSI Oversold,18JAN24,6,False,1,74.0
"21900CE, 21900PE",2024-01-12 14:40:00,292.496,2024-01-12 14:53:00,278.6085,2,75,1041.5625,43.8744,997.6881000000001,RSI Oversold,18JAN24,6,False,1,13.0
"22050CE, 22050PE",2024-01-15 11:00:00,239.37,2024-01-15 11:37:00,238.6125,2,75,56.81249999999946,35.9055,20.90699999999947,RSI Oversold,18JAN24,3,False,1,37.0
"22050CE, 22050PE",2024-01-15 14:06:00,243.915,2024-01-15 14:32:00,235.12800000000001,2,75,659.0249999999994,36.58725,622.4377499999994,RSI Oversold,18JAN24,3,False,1,26.0
"22100CE, 22100PE",2024-01-16 09:49:00,210.6355,2024-01-16 11:01:00,201.192,2,75,708.2625,31.595324999999995,676.667175,RSI Oversold,18JAN24,2,False,1,72.0
"21400CE, 21400PE",2024-01-18 10:10:00,105.03999999999999,2024-01-18 11:42:00,84.739,2,75,1522.575,15.755999999999998,1506.819,Profit Target Hit,18JAN24,0,True,1,92.0
"21500CE, 21500PE",2024-01-18 11:57:00,71.205,2024-01-18 12:36:00,65.953,2,75,393.89999999999935,10.68075,383.2192499999993,RSI Oversold,18JAN24,0,True,1,39.0
"21650CE, 21650PE",2024-01-19 10:28:00,306.33299999999997,2024-01-19 10:46:00,304.36350000000004,2,75,147.71249999999873,45.94995,101.76254999999878,RSI Oversold,25JAN24,6,False,1,18.0
"21600CE, 21600PE",2024-01-19 11:39:00,309.161,2024-01-19 12:10:00,312.292,2,75,-234.8249999999981,46.37415,-281.19914999999787,RSI Oversold,25JAN24,6,False,1,31.0
"21600CE, 21600PE",2024-01-19 14:27:00,299.6165,2024-01-19 15:00:00,303.7575,2,75,-310.57499999999936,44.942475,-355.5174749999993,RSI Oversold,25JAN24,6,False,1,33.0
"21350CE, 21350PE",2024-01-24 09:57:00,227.553,2024-01-24 10:45:00,220.9375,2,75,496.16249999999985,34.13295,462.02954999999986,RSI Oversold,25JAN24,1,False,1,48.0
"21300CE, 21300PE",2024-01-24 12:51:00,203.1615,2024-01-24 13:16:00,204.9795,2,75,-136.35000000000082,30.474225,-166.82422500000098,RSI Oversold,25JAN24,1,False,1,25.0
"21350CE, 21350PE",2024-01-24 14:06:00,197.30349999999999,2024-01-24 15:21:00,194.425,2,75,215.8874999999989,29.595525,186.29197499999918,EOD,25JAN24,1,False,1,75.0
"21300CE, 21300PE",2024-01-25 11:22:00,120.7455,2024-01-25 11:53:00,106.15100000000001,2,75,1094.5875000000003,18.111825,1076.4756750000004,RSI Oversold,25JAN24,0,True,1,31.0
"21300CE, 21300PE",2024-01-25 13:50:00,52.570499999999996,2024-01-25 14:12:00,42.066500000000005,2,75,787.7999999999996,7.885575,779.9144249999997,Profit Target Hit,25JAN24,0,True,1,22.0
"21600CE, 21600PE",2024-01-29 09:59:00,382.6385,2024-01-29 11:20:00,380.8205,2,75,136.3499999999988,57.395775,78.95422499999877,RSI Oversold,01FEB24,3,False,1,81.0
"21700CE, 21700PE",2024-01-29 13:01:00,387.43600000000004,2024-01-29 14:15:00,376.932,2,75,787.8000000000014,58.1154,729.6846000000014,RSI Oversold,01FEB24,3,False,1,74.0
"21750CE, 21750PE",2024-01-30 12:00:00,322.897,2024-01-30 12:13:00,320.0185,2,75,215.887499999998,48.43455,167.45294999999805,RSI Oversold,01FEB24,2,False,1,13.0
"21650CE, 21650PE",2024-01-31 10:37:00,263.105,2024-01-31 12:17:00,269.1145,2,75,-450.7124999999992,39.46575,-490.178249999999,RSI Oversold,01FEB24,1,False,1,100.0
"21750CE, 21750PE",2024-01-31 15:06:00,254.77250000000004,2024-01-31 15:21:00,267.9025,2,75,-984.7499999999975,38.215875,-1022.9658749999976,EOD,01FEB24,1,False,1,15.0
"21800CE, 21800PE",2024-02-01 10:54:00,197.455,2024-02-01 11:16:00,195.1825,2,75,170.43749999999955,29.618250000000003,140.81924999999956,RSI Oversold,01FEB24,0,True,2,22.0
"21750CE, 21750PE",2024-02-01 12:48:00,87.41550000000001,2024-02-01 13:07:00,76.60849999999999,2,75,810.5250000000001,13.112325,797.4126750000005,RSI Oversold,01FEB24,0,True,2,19.0
"21950CE, 21950PE",2024-02-02 11:04:00,319.8165,2024-02-02 11:23:00,356.53000000000003,2,75,-2753.5125000000016,47.972475,-2801.484975000002,Stop Loss Hit,08FEB24,6,False,2,19.0
"22100CE, 22100PE",2024-02-02 11:41:00,353.601,2024-02-02 11:54:00,324.4625,2,75,2185.387499999997,53.04015,2132.3473499999973,RSI Oversold,08FEB24,6,False,2,13.0
"21950CE, 21950PE",2024-02-05 09:51:00,326.937,2024-02-05 10:17:00,319.26099999999997,2,75,575.6999999999989,49.040549999999996,526.659449999999,RSI Oversold,08FEB24,3,False,2,26.0
"21900CE, 21900PE",2024-02-05 10:45:00,304.76750000000004,2024-02-05 12:10:00,292.597,2,75,912.7875000000004,45.715125,867.0723750000004,RSI Oversold,08FEB24,3,False,2,85.0
"21850CE, 21850PE",2024-02-06 11:00:00,259.469,2024-02-06 12:29:00,259.1155,2,75,26.512499999999818,38.92035,-12.40785000000028,RSI Oversold,08FEB24,2,False,2,89.0
"21950CE, 21950PE",2024-02-07 15:17:00,153.72199999999998,2024-02-07 15:21:00,155.23700000000002,2,75,-113.62500000000108,23.0583,-136.68330000000114,EOD,08FEB24,1,False,2,4.0
"21750CE, 21750PE",2024-02-09 11:41:00,346.0765,2024-02-09 13:19:00,332.7445,2,75,999.8999999999974,51.911474999999996,947.9885249999973,RSI Oversold,15FEB24,6,False,2,98.0
"21650CE, 21650PE",2024-02-12 13:34:00,291.991,2024-02-12 14:27:00,285.123,2,75,515.0999999999996,43.79865,471.3013499999995,RSI Oversold,15FEB24,3,False,2,53.0
"21750CE, 21750PE",2024-02-13 10:52:00,246.7935,2024-02-13 11:26:00,243.30899999999997,2,75,261.3374999999997,37.019025,224.31847499999978,RSI Oversold,15FEB24,2,False,2,34.0
"21700CE, 21700PE",2024-02-13 13:01:00,231.74450000000002,2024-02-13 13:14:00,228.4115,2,75,249.97499999999968,34.761675000000004,215.21332499999994,RSI Oversold,15FEB24,2,False,2,13.0
"21700CE, 21700PE",2024-02-13 13:29:00,228.6135,2024-02-13 14:19:00,232.9565,2,75,-325.72499999999917,34.292025,-360.0170249999992,RSI Oversold,15FEB24,2,False,2,50.0
"21650CE, 21650PE",2024-02-14 10:58:00,172.76049999999998,2024-02-14 11:14:00,180.1335,2,75,-552.9750000000006,25.914075,-578.8890750000005,RSI Oversold,15FEB24,1,False,2,16.0
"21650CE, 21650PE",2024-02-14 12:28:00,168.5185,2024-02-14 13:18:00,173.215,2,75,-352.2375000000011,25.277775,-377.5152750000011,RSI Oversold,15FEB24,1,False,2,50.0
"21700CE, 21700PE",2024-02-14 14:12:00,161.297,2024-02-14 14:33:00,189.1225,2,75,-2086.912500000001,24.19455,-2111.1070500000005,Stop Loss Hit,15FEB24,1,False,2,21.0
"21800CE, 21800PE",2024-02-14 14:34:00,160.2365,2024-02-14 14:59:00,180.99200000000002,2,75,-1556.6625000000004,24.035474999999998,-1580.6979750000003,Stop Loss Hit,15FEB24,1,False,2,25.0
"21850CE, 21850PE",2024-02-14 15:01:00,171.7,2024-02-14 15:14:00,147.30849999999998,2,75,1829.3625000000006,25.755,1803.6075000000008,RSI Oversold,15FEB24,1,False,2,13.0
"21900CE, 21900PE",2024-02-15 13:40:00,74.639,2024-02-15 13:42:00,87.16300000000001,2,75,-939.3000000000003,11.19585,-950.4958500000002,Stop Loss Hit,15FEB24,0,True,2,2.0
"22000CE, 22000PE",2024-02-16 09:41:00,334.2595,2024-02-16 11:36:00,331.179,2,75,231.0374999999979,50.138925,180.89857499999795,RSI Oversold,22FEB24,6,False,2,115.0
"22050CE, 22050PE",2024-02-16 12:56:00,324.5635,2024-02-16 13:30:00,317.2915,2,75,545.4000000000035,48.68452500000001,496.7154750000035,RSI Oversold,22FEB24,6,False,2,34.0
